波长(nm),大气消光系数(cm⁻¹)
3695.0,5.000748695464201e-06
3696.0,5.000554163531892e-06
3697.0,5.177933684863392e-06
3698.0,5.177732071315318e-06
3699.0,5.177530277490716e-06
3700.0,5.17732886958387e-06
3701.0,5.177127288721733e-06
3702.0,5.1769261371998775e-06
3703.0,5.176636241738243e-06
3704.0,5.180165285409852e-06
3705.0,5.179962080930323e-06
3706.0,5.179758354257209e-06
3707.0,5.179555018552022e-06
3708.0,5.179351840917542e-06
3709.0,5.1791481983226245e-06
3710.0,5.178945110241647e-06
3711.0,5.178637804013964e-06
3712.0,5.178435624065086e-06
3713.0,5.178233688549613e-06
3714.0,5.178032346756796e-06
3715.0,5.177830405030651e-06
3716.0,5.177628907635459e-06
3717.0,5.177578108515256e-06
3718.0,5.155275660709822e-06
3719.0,5.155074508162821e-06
3720.0,5.154873377364327e-06
3721.0,5.154672144983149e-06
3722.0,5.154471325711708e-06
3723.0,5.154270271590643e-06
3724.0,5.154069391292837e-06
3725.0,5.092606293056769e-06
3726.0,5.092408771196086e-06
3727.0,5.09221106416998e-06
3728.0,5.09201372028892e-06
3729.0,5.0918163652260825e-06
3730.0,5.091715491044226e-06
3731.0,5.091518202669291e-06
3732.0,5.093623450351119e-06
3733.0,5.093430659140328e-06
3734.0,5.093237172413519e-06
3735.0,5.093044007697998e-06
3736.0,5.092851243599824e-06
3737.0,5.092658465580535e-06
3738.0,5.092465638348873e-06
3739.0,5.086506991916621e-06
3740.0,5.086316093529838e-06
3741.0,5.086124910403154e-06
3742.0,5.085934817049775e-06
3743.0,5.085743951726996e-06
3744.0,5.085536195809409e-06
3745.0,5.085345628613987e-06
3746.0,5.040567443209089e-06
3747.0,5.040380020829574e-06
3748.0,5.040192486889135e-06
3749.0,5.040004876201163e-06
3750.0,5.039818589310856e-06
3751.0,5.039630802315965e-06
3752.0,5.039444309712556e-06
3753.0,5.034916201336051e-06
3754.0,5.0347309293236734e-06
3755.0,5.034545169163979e-06
3756.0,5.0343597871069095e-06
3757.0,5.034175761924567e-06
3758.0,5.033981029155534e-06
3759.0,5.03379644207209e-06
3760.0,5.013244715073387e-06
3761.0,5.013058512301631e-06
3762.0,5.012871494458906e-06
3763.0,5.012686372908851e-06
3764.0,5.012500444810686e-06
3765.0,5.012314616127886e-06
3766.0,5.0121284392857645e-06
3767.0,4.9901277635462955e-06
3768.0,4.989940742450347e-06
3769.0,4.989753515615595e-06
3770.0,4.989566105778553e-06
3771.0,4.98938025396385e-06
3772.0,4.989192450827913e-06
3773.0,4.989014856661349e-06
3774.0,5.0241855416103966e-06
3775.0,5.023995719166516e-06
3776.0,5.023804673303714e-06
3777.0,5.023614565766164e-06
3778.0,5.023425392611264e-06
3779.0,5.023235869342093e-06
3780.0,5.0230464356827696e-06
3781.0,5.02082997450619e-06
3782.0,5.020637249872227e-06
3783.0,5.020445920375789e-06
3784.0,5.0202534159939145e-06
3785.0,5.020061041764488e-06
3786.0,5.019870068978901e-06
3787.0,5.019766381033911e-06
3788.0,5.0478906635229735e-06
3789.0,5.047697144462339e-06
3790.0,5.047504886702763e-06
3791.0,5.047311342767115e-06
3792.0,5.04711820384543e-06
3793.0,5.046925043189669e-06
3794.0,5.046732289706823e-06
3795.0,5.046539518946552e-06
3796.0,5.134132924727548e-06
3797.0,5.133938528799661e-06
3798.0,5.133743152105733e-06
3799.0,5.133549596694241e-06
3800.0,5.133354956305269e-06
3801.0,5.133284041900513e-06
3802.0,5.133089805713429e-06
3803.0,5.183609843962596e-06
3804.0,5.183416263213817e-06
3805.0,5.183223522593441e-06
3806.0,5.183031774820275e-06
3807.0,5.182838000225791e-06
3808.0,5.1826452246141115e-06
3809.0,5.182452838387072e-06
3810.0,5.274439043138593e-06
3811.0,5.274246183854102e-06
3812.0,5.274053132049734e-06
3813.0,5.273859650801036e-06
3814.0,5.273666454785177e-06
3815.0,5.273474257628095e-06
3816.0,5.27348658846279e-06
3817.0,5.342912388030516e-06
3818.0,5.342714465842837e-06
3819.0,5.342518200397371e-06
3820.0,5.342321805394866e-06
3821.0,5.342125406050756e-06
3822.0,5.341928213813233e-06
3823.0,5.341732182786669e-06
3824.0,5.341535367275673e-06
3825.0,5.2836985510750025e-06
3826.0,5.283498612294984e-06
3827.0,5.283299411886734e-06
3828.0,5.283099587108847e-06
3829.0,5.282900283410742e-06
3830.0,5.282911556235655e-06
3831.0,5.282712032428353e-06
3832.0,5.178390595650764e-06
3833.0,5.178186795313991e-06
3834.0,5.1779818079118005e-06
3835.0,5.177778026961247e-06
3836.0,5.177574188824063e-06
3837.0,5.177369739939363e-06
3838.0,5.1771659390238156e-06
3839.0,5.038589794228171e-06
3840.0,5.038381378167921e-06
3841.0,5.038173136038062e-06
3842.0,5.037965070046887e-06
3843.0,5.0377583229997975e-06
3844.0,5.0375502843015585e-06
3845.0,5.037519789267563e-06
3846.0,5.037312059978966e-06
3847.0,4.860589817985901e-06
3848.0,4.860382741964966e-06
